Facultad,Carrera,Día,H_Inicio,H_Salida,Año_Inicio,Año_Fin,Total Estudiantes
ICA,CIVIL,JUEVES,7,9,2020,2020,63
ICA,CIVIL,MIERCOLES,7,9,2020,2020,68
ICA,COMPUTACION,JUEVES,11,13,2020,2020,17
FILO,P INFORMATICA,VIERNES,8,10,2020,2020,6
ARQ,ARQUITECTURA,MARTES,7,9,2020,2020,19
ICA,S INFORMACION,VIERNES,7,9,2020,2020,71
CQ,QUIMICA,LUNES,9,11,2020,2021,61
FIGEMPA,PETROLEOS,MARTES,16,18,2020,2021,50
ICA,CIVIL,MARTES,7,9,2020,2021,44
ICA,C GRAFICA,JUEVES,9,11,2020,2021,9
ICA,CIVIL,VIERNES,18,20,2020,2021,58
FIGEMPA,GEOLOGIA,MARTES,16,18,2020,2021,58
ICA,CIVIL,LUNES,15,17,2020,2021,46
CQ,QUIMICA,JUEVES,8,10,2020,2021,56
CQ,QUIMICA,VIERNES,9,11,2020,2021,27
FILO,P MATEMATICA,JUEVES,10,12,2020,2021,33
ARQ,ARQUITECTURA,MARTES,9,11,2020,2021,44
ICA,INDUSTRIAL,VIERNES,11,13,2020,2021,42
FILO,P MATEMATICA,JUEVES,7,9,2020,2021,34
FILO,P MATEMATICA,MIERCOLES,7,9,2020,2021,49
FILO,MECATRONICA,VIERNES,7,9,2021,2021,45
ICA,COMPUTACION,MARTES,11,13,2020,2021,20
ICA,C GRAFICA,MARTES,11,13,2020,2021,8
CQ,BIO Y FAR,LUNES,9,11,2020,2021,58
IQ,I QUIMICA,MIERCOLES,11,13,2020,2021,41
ICA,CIVIL,LUNES,7,9,2020,2021,30
ICA,INDUSTRIAL,JUEVES,11,13,2020,2021,76
FIGEMPA,MINAS,LUNES,9,11,2020,2021,13
FILO,P MATEMATICA,MARTES,7,9,2020,2021,42
FILO,P MATEMATICA,MIERCOLES,7,9,2020,2021,40
FILO,MECATRONICA,VIERNES,9,11,2020,2021,46
ICA,CIVIL,JUEVES,7,9,2020,2021,45
ARQ,ARQUITECTURA,MARTES,7,9,2020,2021,46
FIGEMPA,PETROLEOS,VIERNES,7,9,2020,2021,17
FILO,P MATEMATICA,MIERCOLES,16,18,2020,2021,42
CIENCIAS,MATEMATICA,VIERNES,16,18,2020,2021,46
CQ,BIO Y FAR,MARTES,12,14,2020,2021,41
ICA,CIVIL,MARTES,15,17,2020,2021,49
ICA,CIVIL,MIERCOLES,15,17,2020,2021,48
ICA,CIVIL,MIERCOLES,18,20,2020,2021,45
FILO,P MATEMATICA,LUNES,16,18,2020,2021,36
FILO,MECATRONICA,MARTES,16,18,2020,2021,24
CQ,BIO Y FAR,MIERCOLES,14,16,2020,2021,60
FILO,P MATEMATICA,MIERCOLES,16,18,2020,2021,25
